Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Female,41,0,80,"Banking - RD, FD",1000,Self Interest ,Books,Planning for finacial freedom after Retirement,4,8
Male,42,0,400000,Not prepared ,5000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,4,3
Female,33,1,500000,"Real estate, Bonds",2000,Self Interest ,Books,Wealth generation,20,6
Female,29,0,360000,"Stocks - Intraday, long term",7000,Self,Investors in bank,Construction of own House / Buying a new Car,3,8
Male,35,1,384000,Gold / Any other Materialistic investment,3000,Schemes,Books,Personal Savings,15,6
Male,37,0,600000,"Banking - RD, FD",10000,Self Interest ,Books,All the above ,5,4
Female,36,1,260000,Not prepared ,0,Social media/ Articles,Brokers,All the above ,8,1
Female,22,1,400000,Gold / Any other Materialistic investment,0,Schemes,Social media/ Articles,All the above ,15,3
Female,38,0,260000,"Real estate, Bonds",3000,No one,Family members/Friends,Wealth generation,5,2
Female,50,0,120000,Crypto currency,3000,Schemes,Brokers,Regarding your / Your Siblings marriage,25,7
Male,35,1,260000,Mutual Funds,10000,Social media/ Articles,Investors in bank,Tax saving,4,7
Female,23,1,350000,Marketing ,0,Friends,Brokers,Construction of own House / Buying a new Car,20,1
Female,56,1,200000,Chit fund,1000,Self ,Family members/Friends,Planning for finacial freedom after Retirement,25,6
Male,41,1,400000,"Stocks - Intraday, long term",2000,Through Bank,News articles / Current affairs,Wealth generation,10,7
Female,23,1,150000,Gold / Any other Materialistic investment,7000,Self Interest ,News articles / Current affairs,Construction of own House / Buying a new Car,21,8
Female,44,1,0,Not prepared ,5000,Through Bank,Books,Personal Savings,1,3
Male,60,1,80,Not prepared ,5000,Agents/Investment brokers,Social media/ Articles,Children's education/ Marriage,25,8
Female,59,1,0,Gold / Any other Materialistic investment,3000,Through Bank,Social media/ Articles,Personal Savings,2,3
Male,20,0,180000,"Stocks - Intraday, long term",3000,Family member,Family members/Friends,Planning for finacial freedom after Retirement,5,7
Female,26,1,350000,Gold / Any other Materialistic investment,0,Friends,Brokers,Planning for finacial freedom after Retirement,7,0
Male,56,0,250000,Gold / Any other Materialistic investment,5000,No one,Investors in bank,Tax saving,2,1
Male,33,0,120000,"Real estate, Bonds",7000,Family member,Books,Wealth generation,8,4
Female,46,0,600000,"Real estate, Bonds",3000,No one,Social media/ Articles,Personal Savings,15,6
Female,56,1,384000,Gold / Any other Materialistic investment,2000,Self Interest ,Brokers,Personal Savings,20,5
Female,58,1,200000,"Real estate, Bonds",0,Family member,News articles / Current affairs,Personal Savings,21,3
Female,59,1,384000,"Real estate, Bonds",10000,Family member,News articles / Current affairs,Wealth generation,1,3
Female,25,1,500000,Chit fund,7000,Schemes,News articles / Current affairs,Personal Savings,8,7
Female,57,1,120000,"Banking - RD, FD",2000,Self ,News articles / Current affairs,All the above ,6,0
Male,38,0,180000,Marketing ,10000,Through Bank,Brokers,Tax saving,6,1
Female,35,0,500000,"Banking - RD, FD",5000,Self ,Social media/ Articles,Children's education/ Marriage,15,5
Female,31,1,500000,"Banking - RD, FD",1000,Self,Books,Children's education/ Marriage,4,5
Male,36,0,600000,Gold / Any other Materialistic investment,10000,Self,Investors in bank,Tax saving,3,8
Female,59,0,260000,Crypto currency,10000,Self ,Brokers,Personal Savings,9,0
Female,46,0,360000,Crypto currency,0,Through Bank,Mobile applications,Construction of own House / Buying a new Car,8,7
Male,52,1,280000,Chit fund,2000,Schemes,Social media/ Articles,Planning for finacial freedom after Retirement,10,6
Female,38,0,360000,Crypto currency,1000,Through Bank,Books,Construction of own House / Buying a new Car,10,2
Female,24,0,384000,Chit fund,7000,Schemes,News articles / Current affairs,Tax saving,15,1
Female,22,0,0,Mutual Funds,0,Friends,News articles / Current affairs,Construction of own House / Buying a new Car,6,5
Female,38,1,80,"Real estate, Bonds",2000,Friends,Family members/Friends,All the above ,1,5
Female,32,1,150000,Not prepared ,2000,Self motivation ,Social media/ Articles,Construction of own House / Buying a new Car,5,8
Female,43,0,300000,Crypto currency,10000,No one,Books,Children's education/ Marriage,15,2
Male,36,1,0,"Stocks - Intraday, long term",1000,Friends,Books,Planning for finacial freedom after Retirement,2,1
Female,23,1,360000,"Banking - RD, FD",5000,Schemes,Social media/ Articles,Wealth generation,6,5
Female,44,1,400000,Chit fund,7000,Self ,Social media/ Articles,Regarding your / Your Siblings marriage,4,1
Female,30,1,360000,Marketing ,1000,Family member,Mobile applications,Wealth generation,25,0
Male,58,0,300000,"Stocks - Intraday, long term",2000,Friends,Social media/ Articles,Personal Savings,1,1
Male,50,0,0,Gold / Any other Materialistic investment,5000,Family member,Books,All the above ,15,0
Female,18,1,350000,Chit fund,1000,Self motivation ,News articles / Current affairs,Planning for finacial freedom after Retirement,15,2
Male,37,0,360000,Chit fund,7000,Through Bank,Social media/ Articles,Wealth generation,9,7
Male,29,1,250000,Marketing ,3000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,7,7
Male,49,0,384000,"Banking - RD, FD",3000,Agents/Investment brokers,Investors in bank,Regarding your / Your Siblings marriage,7,5
Male,34,1,200000,"Stocks - Intraday, long term",10000,Self motivation ,Books,Children's education/ Marriage,25,2
Male,53,0,180000,"Real estate, Bonds",10000,Schemes,Investors in bank,Regarding your / Your Siblings marriage,6,4
Male,44,1,600000,Gold / Any other Materialistic investment,1000,Self ,Social media/ Articles,Regarding your / Your Siblings marriage,5,4
Male,53,0,500000,Gold / Any other Materialistic investment,3000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,25,5
Female,22,1,500000,Chit fund,5000,Family member,Mobile applications,Wealth generation,25,1
Male,38,1,80,"Stocks - Intraday, long term",2000,Through Bank,Social media/ Articles,Regarding your / Your Siblings marriage,5,5
Male,38,0,150000,Marketing ,7000,Schemes,Investors in bank,Children's education/ Marriage,25,2
Female,47,1,384000,Not prepared ,1000,No one,Books,Wealth generation,7,6
Female,20,1,384000,Mutual Funds,2000,Through Bank,Investors in bank,All the above ,25,6
Female,28,0,384000,Not prepared ,1000,Self,Books,Children's education/ Marriage,7,4
Female,38,0,280000,Crypto currency,7000,No one,Mobile applications,Regarding your / Your Siblings marriage,2,3
Female,26,1,200000,Not prepared ,2000,Self Interest ,Family members/Friends,Personal Savings,7,5
Female,20,0,280000,Chit fund,5000,Family member,Brokers,All the above ,9,8
Female,41,0,200000,"Banking - RD, FD",2000,Friends,Mobile applications,Personal Savings,25,8
Female,19,1,150000,"Stocks - Intraday, long term",10000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,5,4
Male,35,1,360000,"Stocks - Intraday, long term",5000,No one,Books,All the above ,10,5
Female,48,0,150000,Crypto currency,7000,Family member,Brokers,Construction of own House / Buying a new Car,20,2
Male,28,1,280000,"Real estate, Bonds",1000,Through Bank,Family members/Friends,All the above ,9,4
Female,30,0,250000,Not prepared ,3000,Friends,Investors in bank,Regarding your / Your Siblings marriage,9,0
Female,60,1,300000,Chit fund,7000,Self motivation ,Brokers,Regarding your / Your Siblings marriage,6,5
Female,31,0,0,Not prepared ,7000,Self Interest ,Books,All the above ,7,6
Male,50,1,384000,Chit fund,5000,Family member,Investors in bank,Planning for finacial freedom after Retirement,10,6
Female,26,0,384000,"Banking - RD, FD",5000,Self motivation ,Brokers,Regarding your / Your Siblings marriage,4,4
Female,37,1,350000,Chit fund,2000,Self motivation ,News articles / Current affairs,Regarding your / Your Siblings marriage,6,1
Female,45,1,120000,Not prepared ,2000,Self,Family members/Friends,Construction of own House / Buying a new Car,25,0
Female,18,0,180000,Crypto currency,5000,Self motivation ,Brokers,Wealth generation,20,5
Male,49,1,250000,Gold / Any other Materialistic investment,1000,Self ,Family members/Friends,Children's education/ Marriage,1,1
Female,27,1,250000,Gold / Any other Materialistic investment,10000,Self ,Mobile applications,Construction of own House / Buying a new Car,2,7
Female,21,1,120000,"Banking - RD, FD",7000,Social media/ Articles,Brokers,All the above ,3,1
Female,44,0,200000,Not prepared ,0,Agents/Investment brokers,Brokers,Regarding your / Your Siblings marriage,3,2
Male,23,0,120000,Marketing ,2000,Self ,Family members/Friends,Personal Savings,9,4
Male,41,0,0,Marketing ,0,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,5,6
Male,52,0,360000,Gold / Any other Materialistic investment,10000,Through Bank,Brokers,Wealth generation,8,2
Female,45,1,0,"Stocks - Intraday, long term",2000,Self Interest ,Social media/ Articles,Personal Savings,20,1
Male,19,0,350000,"Real estate, Bonds",7000,Self,Family members/Friends,Personal Savings,8,6
Male,22,0,500000,Mutual Funds,3000,Friends,Family members/Friends,Regarding your / Your Siblings marriage,10,6
Male,46,1,300000,Chit fund,7000,Self,Brokers,Construction of own House / Buying a new Car,10,7
Female,18,1,260000,Mutual Funds,2000,Friends,Books,Planning for finacial freedom after Retirement,15,8
Male,48,0,600000,Not prepared ,1000,Self motivation ,Brokers,Children's education/ Marriage,5,0
Female,19,1,0,Chit fund,7000,Self ,Investors in bank,All the above ,25,1
Female,19,1,300000,Marketing ,3000,Self motivation ,Mobile applications,Children's education/ Marriage,1,6
Female,20,0,280000,Not prepared ,10000,Agents/Investment brokers,Books,Personal Savings,3,7
Female,47,0,80,Chit fund,3000,Self ,Investors in bank,Wealth generation,9,8
Female,49,1,180000,"Banking - RD, FD",7000,Family member,Investors in bank,Children's education/ Marriage,20,0
Male,41,0,200000,"Banking - RD, FD",0,Through Bank,Investors in bank,Regarding your / Your Siblings marriage,21,6
Female,24,1,250000,Marketing ,10000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,25,1
Female,49,0,360000,Crypto currency,0,Self Interest ,Brokers,All the above ,21,4
Female,27,1,180000,"Real estate, Bonds",2000,Family member,Books,Personal Savings,3,2
Male,47,0,260000,"Banking - RD, FD",5000,Schemes,Brokers,All the above ,8,0
Female,45,0,180000,Crypto currency,1000,Self Interest ,Family members/Friends,Personal Savings,20,3
Male,51,0,80,"Real estate, Bonds",7000,Self ,Mobile applications,All the above ,4,5
Male,20,0,250000,Not prepared ,3000,No one,Brokers,Regarding your / Your Siblings marriage,10,3
Male,38,1,384000,"Real estate, Bonds",0,Schemes,Investors in bank,Construction of own House / Buying a new Car,7,5
Male,32,1,350000,Not prepared ,0,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,20,0
Male,50,0,360000,Chit fund,2000,Agents/Investment brokers,Investors in bank,Children's education/ Marriage,15,5
Male,31,0,350000,Mutual Funds,2000,Self,Brokers,Personal Savings,8,4
Female,36,0,0,Mutual Funds,10000,Self,Mobile applications,Regarding your / Your Siblings marriage,8,7
Male,27,1,280000,"Banking - RD, FD",0,Self,Brokers,All the above ,1,5
Male,54,1,280000,Marketing ,5000,Self motivation ,Family members/Friends,All the above ,6,0
Male,60,1,360000,Chit fund,5000,Through Bank,Social media/ Articles,Personal Savings,9,2
Male,58,0,200000,Gold / Any other Materialistic investment,7000,No one,Brokers,Tax saving,8,1
Male,40,1,400000,"Real estate, Bonds",0,Agents/Investment brokers,Books,Planning for finacial freedom after Retirement,7,8
Male,59,1,360000,"Banking - RD, FD",7000,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,6,3
Female,51,1,260000,"Real estate, Bonds",2000,Through Bank,Mobile applications,All the above ,25,5
Male,37,0,400000,"Banking - RD, FD",7000,Through Bank,Social media/ Articles,Planning for finacial freedom after Retirement,15,3
Male,35,1,120000,Mutual Funds,7000,Agents/Investment brokers,Books,All the above ,9,4
Female,51,1,600000,"Stocks - Intraday, long term",0,Through Bank,Books,Personal Savings,8,4
Male,53,0,260000,"Stocks - Intraday, long term",7000,Self motivation ,Mobile applications,All the above ,21,3
Male,35,1,500000,Gold / Any other Materialistic investment,3000,No one,Brokers,Construction of own House / Buying a new Car,7,2
Female,57,1,600000,"Stocks - Intraday, long term",2000,Friends,Family members/Friends,Planning for finacial freedom after Retirement,9,2
Male,51,0,180000,"Stocks - Intraday, long term",10000,Self Interest ,Brokers,Children's education/ Marriage,7,2
Female,21,0,120000,Chit fund,0,No one,Mobile applications,Construction of own House / Buying a new Car,4,3
Female,57,0,180000,Mutual Funds,1000,Agents/Investment brokers,Investors in bank,Wealth generation,9,6
Male,44,1,200000,Not prepared ,7000,Agents/Investment brokers,Books,All the above ,9,7
Male,26,0,120000,Chit fund,10000,Social media/ Articles,Mobile applications,Planning for finacial freedom after Retirement,10,3
Male,29,1,600000,"Stocks - Intraday, long term",7000,Social media/ Articles,Mobile applications,Planning for finacial freedom after Retirement,1,6
Male,19,0,150000,Gold / Any other Materialistic investment,5000,Through Bank,Brokers,All the above ,7,3
Male,57,1,180000,"Real estate, Bonds",5000,Self ,Family members/Friends,Tax saving,8,4
Female,47,1,400000,Not prepared ,3000,No one,Mobile applications,Construction of own House / Buying a new Car,5,2
Female,50,0,0,"Stocks - Intraday, long term",2000,Self motivation ,Social media/ Articles,Planning for finacial freedom after Retirement,20,3
Male,36,0,300000,"Banking - RD, FD",1000,Self motivation ,Books,Personal Savings,20,1
Female,55,1,250000,Mutual Funds,10000,Self ,Investors in bank,Construction of own House / Buying a new Car,21,4
Male,38,1,80,"Banking - RD, FD",5000,Family member,Investors in bank,All the above ,6,4
Female,36,0,250000,Not prepared ,1000,Family member,Mobile applications,All the above ,15,4
Female,22,0,350000,Chit fund,0,Self ,Brokers,Tax saving,21,6
Male,59,0,350000,"Banking - RD, FD",0,Agents/Investment brokers,Books,Wealth generation,15,6
Female,37,1,500000,Marketing ,2000,Self ,Investors in bank,Construction of own House / Buying a new Car,7,4
Female,31,0,260000,Marketing ,5000,Self ,Brokers,All the above ,9,2
Female,50,0,500000,Not prepared ,2000,Self ,Brokers,Planning for finacial freedom after Retirement,10,5
Male,18,1,300000,Not prepared ,0,Self Interest ,Investors in bank,All the above ,2,1
Male,45,0,300000,"Stocks - Intraday, long term",3000,Family member,Social media/ Articles,Wealth generation,1,5
Female,22,1,360000,Crypto currency,1000,Self ,Mobile applications,Children's education/ Marriage,3,6
Female,56,1,120000,Chit fund,2000,Schemes,Mobile applications,Wealth generation,1,8
Male,59,1,600000,Mutual Funds,1000,Self,News articles / Current affairs,Children's education/ Marriage,4,8
